
Getting data from wss://ptmessaging-eu1bc.prd.jifeline.cloud/ptmessaging/b71d5fb8-840d-4641-ba7f-c2d5574cdec4?bufferSize=1000&amp;useArrayFormat=true
16:27:32.706 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0750,0x2A,0x00,0x00] format[0x0200] data[0x1003]
16:27:32.726 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0758,0x2A,0x00,0x00] format[0x0200] data[0x5003003201F4]
16:27:32.817 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0750,0x2A,0x00,0x00] format[0x0200] data[0x190209]
16:27:32.839 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0758,0x2A,0x00,0x00] format[0x0200] data[0x5902B9]
16:27:33.484 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x0750,0x07,0x40,0x00] format[0x0200] data[0x40023E0000000000]
16:27:33.553 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0750,0x40,0x00,0x00] format[0x0200] data[0x1003]
16:27:33.575 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0758,0x40,0x00,0x00] format[0x0200] data[0x5003003201F4]
16:27:33.657 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0750,0x40,0x00,0x00] format[0x0200] data[0x190209]
16:27:33.709 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x7F78] args[0x0758,0x00,0x40,0x00] format[0x0200] data[0x40037F1978000000]
16:27:34.155 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0758,0x40,0x00,0x00] format[0x0200] data[0x5902B992498728C1638728]
16:27:34.875 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x0750,0x07,0xB0,0x00] format[0x0200] data[0xB0013E0000000000]
16:27:34.928 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0750,0xB0,0x00,0x00] format[0x0200] data[0x1381]
16:27:35.157 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0758,0xB0,0x00,0x00] format[0x0200] data[0x5300]
16:27:35.222 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0750,0xB0,0x00,0x00] format[0x0200] data[0x1382]
16:27:35.352 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0758,0xB0,0x00,0x00] format[0x0200] data[0x5300]
16:27:36.027 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x0750,0x07,0xC7,0x00] format[0x0200] data[0xC7023E0000000000]
16:27:36.075 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0750,0xC7,0x00,0x00] format[0x0200] data[0x1003]
16:27:36.106 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x7F78] args[0x0758,0x00,0xC7,0x00] format[0x0200] data[0xC7037F1078000000]
16:27:36.197 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0758,0xC7,0x00,0x00] format[0x0200] data[0x5003003201F4]
16:27:36.257 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0750,0xC7,0x00,0x00] format[0x0200] data[0x190209]
16:27:36.276 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0758,0xC7,0x00,0x00] format[0x0200] data[0x590239]
16:27:36.926 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x0750,0x07,0x4D,0x00] format[0x0200] data[0x4D023E0000000000]
16:27:37.045 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0750,0x4D,0x00,0x00] format[0x0200] data[0x1003]
16:27:37.100 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0758,0x4D,0x00,0x00] format[0x0200] data[0x5003003201F4]
16:27:37.184 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0750,0x4D,0x00,0x00] format[0x0200] data[0x190209]
16:27:37.265 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x7F78] args[0x0758,0x00,0x4D,0x00] format[0x0200] data[0x4D037F1978000000]
16:27:37.288 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0758,0x4D,0x00,0x00] format[0x0200] data[0x590239]
16:27:37.948 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x3E00] args[0x0750,0x00,0x4B,0x00] format[0x0200] data[0x4B023E0000000000]
16:27:39.662 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x0750,0x07,0x4A,0x00] format[0x0200] data[0x4A023E0000000000]
16:27:39.721 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0750,0x4A,0x00,0x00] format[0x0200] data[0x1003]
16:27:39.785 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0758,0x4A,0x00,0x00] format[0x0200] data[0x5003003201F4]
16:27:39.885 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0750,0x4A,0x00,0x00] format[0x0200] data[0x190209]
16:27:39.964 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x7F78] args[0x0758,0x00,0x4A,0x00] format[0x0200] data[0x4A037F1978000000]
16:27:39.993 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0758,0x4A,0x00,0x00] format[0x0200] data[0x590239]
16:27:40.670 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x0750,0x07,0xD3,0x00] format[0x0200] data[0xD3023E0000000000]
16:27:40.724 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0750,0xD3,0x00,0x00] format[0x0200] data[0x1003]
16:27:40.748 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0758,0xD3,0x00,0x00] format[0x0200] data[0x5003003201F4]
16:27:40.814 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0750,0xD3,0x00,0x00] format[0x0200] data[0x190209]
16:27:40.845 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0758,0xD3,0x00,0x00] format[0x0200] data[0x5902B9]
16:27:41.526 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x3E00] args[0x0750,0x00,0x42,0x00] format[0x0200] data[0x42023E0000000000]
16:27:43.248 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x3E00] args[0x0750,0x00,0x41,0x00] format[0x0200] data[0x41023E0000000000]
16:27:45.030 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x0750,0x07,0x0F,0x00] format[0x0200] data[0x0F023E0000000000]
16:27:45.101 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0750,0x0F,0x00,0x00] format[0x0200] data[0x1003]
16:27:45.117 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0758,0x0F,0x00,0x00] format[0x0200] data[0x5003003201F4]
16:27:45.213 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0750,0x0F,0x00,0x00] format[0x0200] data[0x190209]
16:27:45.272 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0758,0x0F,0x00,0x00] format[0x0200] data[0x5902B9]
16:27:46.037 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x3E00] args[0x0750,0x00,0xE9,0x00] format[0x0200] data[0xE9023E0000000000]
16:27:47.767 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x3E00] args[0x0750,0x00,0xB5,0x00] format[0x0200] data[0xB5023E0000000000]
16:27:49.434 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x3E00] args[0x0750,0x00,0x67,0x00] format[0x0200] data[0x67023E0000000000]
16:27:51.259 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x3E00] args[0x0750,0x00,0x69,0x00] format[0x0200] data[0x69023E0000000000]
16:27:53.052 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x3E00] args[0x0750,0x00,0xEC,0x00] format[0x0200] data[0xEC013E0000000000]
16:27:54.156 | [Server]-&gt;[Tracer] METADATA =&gt; key[connection:transceived:bytes] value[57488]
16:27:54.753 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x0750,0x07,0x5F,0x00] format[0x0200] data[0x5F023E0000000000]
16:27:54.803 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0750,0x5F,0x00,0x00] format[0x0200] data[0x1003]
16:27:54.823 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0758,0x5F,0x00,0x00] format[0x0200] data[0x5003003201F4]
16:27:54.895 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0750,0x5F,0x00,0x00] format[0x0200] data[0x190209]
16:27:54.928 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0758,0x5F,0x00,0x00] format[0x0200] data[0x590239]
16:27:55.576 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x0750,0x07,0x29,0x00] format[0x0200] data[0x29023E0000000000]
16:27:55.645 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0750,0x29,0x00,0x00] format[0x0200] data[0x1003]
16:27:55.662 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0758,0x29,0x00,0x00] format[0x0200] data[0x5003003201F4]
16:27:55.747 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0750,0x29,0x00,0x00] format[0x0200] data[0x190209]
16:27:55.797 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x7F78] args[0x0758,0x00,0x29,0x00] format[0x0200] data[0x29037F1978000000]
16:27:55.872 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0758,0x29,0x00,0x00] format[0x0200] data[0x5902B9]
16:28:13.970 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x07C0,0x07,0x00,0x00] data[0x023E000000000000]
16:28:14.034 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07C0,0x00,0x00,0x00] data[0x1001]
16:28:14.056 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07C8,0x00,0x00,0x00] data[0x5001003201F4]
16:28:14.264 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07C0,0x00,0x00,0x00] data[0x1003]
16:28:14.283 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07C8,0x00,0x00,0x00] data[0x5003003201F4]
16:28:14.388 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07C0,0x00,0x00,0x00] data[0x14FFFFFF]
16:28:14.446 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x7F78] args[0x07C8,0x00,0x00,0x00] data[0x037F147800000000]
16:28:15.233 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07C8,0x00,0x00,0x00] data[0x54]
16:28:15.578 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07C0,0x00,0x00,0x00] data[0x1003]
16:28:15.604 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07C8,0x00,0x00,0x00] data[0x5003003201F4]
16:28:15.706 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07C0,0x00,0x00,0x00] data[0x190209]
16:28:15.744 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07C8,0x00,0x00,0x00] data[0x590239]
16:28:16.346 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x07B0,0x07,0x00,0x00] data[0x023E000000000000]
16:28:16.396 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07B0,0x00,0x00,0x00] data[0x1001]
16:28:16.414 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07B8,0x00,0x00,0x00] data[0x5001003201F4]
16:28:16.593 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07B0,0x00,0x00,0x00] data[0x1003]
16:28:16.610 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07B8,0x00,0x00,0x00] data[0x5003003201F4]
16:28:17.272 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [EOBD] cmd[0x4000] args[0x07DF,0x00,0x00,0x00] data[0x0104000000000000]
16:28:17.289 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EA,0x00,0x00,0x00] data[0x44]
16:28:17.290 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EB,0x00,0x00,0x00] data[0x44]
16:28:17.291 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07E8,0x00,0x00,0x00] data[0x44]
16:28:17.292 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EE,0x00,0x00,0x00] data[0x44]
16:28:18.489 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x07B0,0x07,0x00,0x00] data[0x023E000000000000]
16:28:19.065 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [EOBD] cmd[0x4000] args[0x07DF,0x00,0x00,0x00] data[0x0104000000000000]
16:28:19.083 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EA,0x00,0x00,0x00] data[0x44]
16:28:19.084 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EB,0x00,0x00,0x00] data[0x44]
16:28:19.085 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07E8,0x00,0x00,0x00] data[0x44]
16:28:19.086 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EE,0x00,0x00,0x00] data[0x44]
16:28:20.056 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [EOBD] cmd[0x4000] args[0x07DF,0x00,0x00,0x00] data[0x0104000000000000]
16:28:20.073 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07E8,0x00,0x00,0x00] data[0x44]
16:28:20.074 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EA,0x00,0x00,0x00] data[0x44]
16:28:20.076 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EB,0x00,0x00,0x00] data[0x44]
16:28:20.078 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EE,0x00,0x00,0x00] data[0x44]
16:28:21.110 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x07B0,0x07,0x00,0x00] data[0x023E000000000000]
16:28:21.682 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [EOBD] cmd[0x4000] args[0x07DF,0x00,0x00,0x00] data[0x0104000000000000]
16:28:21.698 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07E8,0x00,0x00,0x00] data[0x44]
16:28:21.700 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EA,0x00,0x00,0x00] data[0x44]
16:28:21.701 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EB,0x00,0x00,0x00] data[0x44]
16:28:21.702 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EE,0x00,0x00,0x00] data[0x44]
16:28:22.601 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [EOBD] cmd[0x4000] args[0x07DF,0x00,0x00,0x00] data[0x0104000000000000]
16:28:22.618 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EA,0x00,0x00,0x00] data[0x44]
16:28:22.619 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EB,0x00,0x00,0x00] data[0x44]
16:28:22.619 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07E8,0x00,0x00,0x00] data[0x44]
16:28:22.621 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EE,0x00,0x00,0x00] data[0x44]
16:28:23.730 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x07B0,0x07,0x00,0x00] data[0x023E000000000000]
16:28:24.383 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [EOBD] cmd[0x4000] args[0x07DF,0x00,0x00,0x00] data[0x0104000000000000]
16:28:24.400 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EB,0x00,0x00,0x00] data[0x44]
16:28:24.401 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07E8,0x00,0x00,0x00] data[0x44]
16:28:24.404 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EA,0x00,0x00,0x00] data[0x44]
16:28:24.406 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EE,0x00,0x00,0x00] data[0x44]
16:28:25.485 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x07B0,0x07,0x00,0x00] data[0x023E000000000000]
16:28:25.550 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07B0,0x00,0x00,0x00] data[0x14FFFFFF]
16:28:25.604 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x7F78] args[0x07B8,0x00,0x00,0x00] data[0x037F147800000000]
16:28:27.204 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07B8,0x00,0x00,0x00] data[0x54]
16:28:27.572 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07B0,0x00,0x00,0x00] data[0x1003]
16:28:27.589 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07B8,0x00,0x00,0x00] data[0x5003003201F4]
16:28:27.653 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07B0,0x00,0x00,0x00] data[0x190209]
16:28:27.704 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x7F78] args[0x07B8,0x00,0x00,0x00] data[0x037F197800000000]
16:28:28.064 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07B8,0x00,0x00,0x00] data[0x5902B9]
16:28:28.654 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x07D0,0x07,0x00,0x00] data[0x023E000000000000]
16:28:28.721 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07D0,0x00,0x00,0x00] data[0x1001]
16:28:28.737 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07D8,0x00,0x00,0x00] data[0x5001003201F4]
16:28:28.919 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07D0,0x00,0x00,0x00] data[0x1003]
16:28:28.937 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07D8,0x00,0x00,0x00] data[0x5003003201F4]
16:28:29.013 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07D0,0x00,0x00,0x00] data[0x14FFFFFF]
16:28:29.348 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07D8,0x00,0x00,0x00] data[0x54]
16:28:29.691 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07D0,0x00,0x00,0x00] data[0x1003]
16:28:29.708 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07D8,0x00,0x00,0x00] data[0x5003003201F4]
16:28:29.782 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07D0,0x00,0x00,0x00] data[0x190209]
16:28:29.808 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07D8,0x00,0x00,0x00] data[0x590239]
16:28:30.356 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x0792,0x07,0x00,0x00] data[0x023E000000000000]
16:28:30.456 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x1001]
16:28:30.472 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x5001003201F4]
16:28:30.638 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x1003]
16:28:30.662 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x5003003201F4]
16:28:30.762 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x14FFFFFF]
16:28:30.823 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x7F78] args[0x079A,0x00,0x00,0x00] data[0x037F147800000000]
16:28:31.752 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x54]
16:28:32.096 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x1003]
16:28:32.112 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x5003003201F4]
16:28:32.211 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x190209]
16:28:32.232 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x5902B9]
16:28:32.928 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x07A1,0x07,0x00,0x00] data[0x023E000000000000]
16:28:32.983 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07A1,0x00,0x00,0x00] data[0x1001]
16:28:33.006 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07A9,0x00,0x00,0x00] data[0x5001003201F4]
16:28:33.181 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07A1,0x00,0x00,0x00] data[0x1003]
16:28:33.206 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x07A9,0x00,0x00,0x00] data[0x5003003201F4]
